	USP																							
RAMADA PLAZA	Miesto prabangus viešbutis Antalijoje, elegantiškas interjeras ir stipri SPA zona.																							
RAMADA RESORT BY WYNDHAM KUSADASI & GOLF	Viešbutis su nuosavu golfo aikštynu ir gražiais j?ros vaizdais.																							
RAMADA RESORT BY WYNDHAM SIDE	Geras kainos-kokyb?s santykis ir modern?s numeriai.																							
RAMIRA BEACH HOTEL	Jaukus viešbutis šalia papl?dimio – ramus poilsis.																							
RAMIRA CITY HOTEL	Patogioje vietoje esantis miesto viešbutis su švariais numeriais.																							
RAMIRA JOY HOTEL	Modernus ir jaukus – puikus pasirinkimas nebrangiam poilsiui.																							
RAMMOS MANAGED BY DEDEMAN	Stilingas viešbutis Bodrume su kovos kokyb?s maistu.																							
RAYMAR RESORT & AQUA	Didel? teritorija ir stiprus aquaparkas šeimoms.																							
REGNUM CARYA	Prestižas, Michelin lygio gastronomija, pasaulinio lygio renginiai ir sporto ?empionatai.																							
REGNUM THE CROWN	Aukš?iausios klas?s naujas prabangus kurortas su top aptarnavimu.																							
RELAX BEACH HOTEL	Ramus viešbutis šalia j?ros – geras pasirinkimas biudžetui.																							
RICH MELISSA HOTEL	Paprastas, bet tvarkingas viešbutis arti papl?dimio.																							
RICHMOND EPHESUS RESORT	Viešbutis prie papl?dimio Kušadasyje, šeimoms draugiškas pasirinkimas su animacija.																							
RING BEACH HOTEL	Žalia teritorija ir geras papl?dimys Kemerio regione.																							
RIOLAVITAS RESORT & SPA	Stilingas viešbutis su modernia SPA zona.																							
RIOS BEACH HOTEL	Patogus viešbutis ant papl?dimio Kemerio centre.																							
RIOS LATTE BEACH HOTEL	Atnaujintas viešbutis su jaukia atmosfera.																							
RIVA BODRUM RESORT	Panoraminiai Bodrumo vaizdai ir ramesn? aplinka.																							
RIVER RESORT	Didel? žalia teritorija ir šeim? pramogos.																							
RIXOS DOWNTOWN ANTALYA - THE LAND OF LEGENDS FREE ACCESS	Prabangus miesto viešbutis su nemokamu LOLL parko ??jimu.																							
RIXOS PARK BELEK - THE LAND OF LEGENDS FREE ACCESS	Modernus Rixos kurortas su nemokamu pramog? parko lankymu.																							
RIXOS PERA	Prabangus Stambulo viešbutis šalia Taksimo.																							
RIXOS PREMIUM BELEK - THE LAND OF LEGENDS FREE ACCESS	Vienas garsiausi? Turkijos kurort? – aukš?iausia kokyb? ir LOLL ??jimas.																							
RIXOS PREMIUM BODRUM	Vienas prestižiškiausi? Bodrumo viešbu?i?, VIP papl?dimiai, prabang?s apartamentai, aukš?iausio lygio servisas.																							
RIXOS PREMIUM GOCEK ADULT ONLY (13+)	Ramus prabangus suaugusi?j? kurortas ?lankoje.																							
RIXOS PREMIUM TEKIROVA - THE LAND OF LEGENDS FREE ACCESS	Didelis kompleksas su premium paslaugomis ir LOLL parku.																							
RIXOS SUNGATE - THE LAND OF LEGENDS FREE ACCESS	Vienas didžiausi? Turkijos kurort? su daugybe pramog?.																							
RK MAGIC DREAM HOTEL	Ekonomiškas viešbutis Kemeryje, patogus šeimoms ieškan?ioms paprasto poilsio.																							
ROBINSON CAMYUVA	Suaugusiems orientuotas premium klubinio tipo kurortas su sporto programa.																							
ROBINSON NOBILIS	Prabangus golfo kurortas Beleke su aukš?iausio lygio sporto infrastrukt?ra.																							
ROBINSON SARIGERME PARK	Didel? žalia teritorija ir aktyvios programos visai šeimai.																							
ROMA BEACH RESORT HOTEL ADULT ONLY (16+)	Stilingas suaugusi?j? viešbutis su ramiu papl?dimiu.																							
ROSE GARDEN PREMIUM	Nedidelis kompleksas su sodais, šeimyniniai kambariai, ekonominis pasirinkimas šeimoms.																							
ROSEIRA BEACH RESORT	Naujas viešbutis prie j?ros, šeimoms tinkamas pasirinkimas.																							
ROSEIRA MAR-IN LUXURY	Modernus, ramus viešbutis su gražia aplinka.																							
ROSELLA HOTEL	Paprastas, bet patogioje vietoje esantis viešbutis arti papl?dimio.																							
ROX RESORT HOTEL	Stilingi numeriai ir aukšto lygio maitinimas.																							
ROYAL ALHAMBRA PALACE	?sp?dinga r?m? architekt?ra Side, prabanga ir plati infrastrukt?ra.																							
ROYAL ASARLIK BEACH & SPA	Bodrumo viešbutis su gražia panorama, prabangus interjeras ir SPA paslaugos.																							
ROYAL ATLANTIS BEACH	Ramus viešbutis ant j?ros kranto – puikiai tinka poroms.																							
ROYAL ATLANTIS ICON	Modernus ir naujas kompleksas šeimoms ir poroms.																							
ROYAL ATLANTIS SPA & RESORT	Papl?dimio viešbutis su geru SPA ir animacija.																							
ROYAL BEACH CLUB	Šiltas ir jaukus viešbutis tiesiai ant papl?dimio.																							
ROYAL DRAGON HOTEL	Didžiulis viešbutis Side su rytietišku dizainu, dideli baseinai ir akvaparkas, tinkamas šeimoms.																							
ROYAL GARDEN BEACH	Alanijos viešbutis, labiau tinkamas poroms ieškan?ioms ramaus poilsio.																							
ROYAL HOLIDAY PALACE	?sp?dinga architekt?ra, erdvi teritorija su daug animacijos, patogu šeimoms.																							
ROYAL SEGINUS	Futuristinis dizainas, didžiuliai baseinai, šeimoms tinkami kambariai.																							
ROYAL TAJ MAHAL	?sp?dinga rytietiška architekt?ra, erdv?s šeimyniniai kambariai, akvaparkas vaikams.																							
ROYAL WINGS HOTEL	Akvaparkas, erdv?s šeimyniniai kambariai, aktyvus šeim? poilsis.																							
ROYALISA CITY APART HOTEL	Ekonomiškas miesto apartament? tipo viešbutis poroms.																							
ROYALISA PALMIYE BEACH HOTEL ADULT ONLY (16+)	Nedidelis tik suaugusi?j? viešbutis ant j?ros kranto Alanijoje, paprastas romantiškoms atostogoms.																							
RUBI HOTEL	Viešbutis su pla?iu sm?lio papl?dimiu ir geru aptarnavimu.																							
RUBI PLATINUM SIGN	Modernus, prabangus viešbutis su aukšto lygio paslaugomis.																							
SAINT STAR HOTEL KEMER ADULT ONLY (16+)	Ramus ir nedidelis viešbutis suaugusiems.																							
SALMAKIS RESORT & SPA	Bodrumo viešbutis su puikia lokacija, šeimoms draugiška infrastrukt?ra, SPA paslaugos.																							
SAMARA HOTEL	Bodrumo viešbutis su pla?ia teritorija ir šeimoms tinkamais kambariais.																							
SAMI BEACH HOTEL	Bodrumo viešbutis, paprastas, ekonomiškas, tinkamas poroms.																							
SANTANA HOTEL	Biudžetinis viešbutis su draugiška atmosfera.																							
SAPHIR HOTEL & VILLAS	Šeimoms patogi koncepcija - vilos, didelis basein? kompleksas, akvaparkas.																							
SAPHIR RESORT & SPA	Didel? žalia teritorija, geras maitinimas ir puikus papl?dimys.																							
SARITAS HOTEL	Paprastas, bet patogioje vietoje – arti Kleopatros papl?dimio.																							
SAVK HOTEL	Ant j?ros kranto, šalia miesto centro – patogu aktyviam poilsiui.																							
SAYGILI BEACH HOTEL	Mažas, jaukus viešbutis su tiesioginiu iš?jimu ? papl?dim?.																							
SCYLAX FAMILY CLUB	Šeim? viešbutis su dideliu aquaparku ir kokybiška animacija.																							
SEA SHELL VEGA	Naujas, modernus ir stilingas viešbutis su komfortiškomis erdv?mis.																							
SEADEN COROLLA HOTEL	Ekonomiškas Side viešbutis, tinkamas šeimoms su vaikais.																							
SEADEN QUALITY RESORT & SPA	Modernus viešbutis su šeimoms patogia infrastrukt?ra, stipri animacija.																							
SEADEN SEA PLANET RESORT & SPA	Didelis viešbutis prie j?ros, šeimoms patog?s kambariai, baseinai ir pramogos.																							
SEADEN SEA WORLD RESORT & SPA	Panoraminiai j?ros vaizdai ir aukšto lygio maitinimas.																							
SEADEN VALENTINE RESORT & SPA ADULT ONLY (16+)	Tik suaugusiems skirtas viešbutis Side, ramyb?, SPA, tinkamas romantiškoms atostogoms.																							
SEAGULL HOTEL	Komfortiškas viešbutis ant j?ros kranto su gražiais vaizdais.																							
SEALIFE BUKET BEACH HOTEL	Alanijos viešbutis su pla?iu sm?lio papl?dimiu, šeimoms draugiška aplinka.																							
SEALIFE FAMILY RESORT HOTEL	Gerai vertinamas viešbutis Antalijoje, netoli miesto centro.																							
SEALIFE KEMER RESORT	Naujas Kemerio viešbutis, šeimoms draugiškas, šiuolaikin? koncepcija.																							
SEALIGHT RESORT HOTEL	Populiarus viešbutis su panoraminiu vaizdu ir geru aptarnavimu.																							
SEAMELIA BEACH RESORT & SPA	Prabangus viešbutis su pla?iu sm?lio papl?dimiu.																							
SEAPHORIA HOTEL	Paprastas, tvarkingas viešbutis – geras kainos ir kokyb?s santykis.																							
SEASIDE BEACH CLUB HOTEL	Biudžetinis variantas pirmoje linijoje.																							
SEHER KUMKOY STAR RESORT & SPA	Ramus viešbutis su gera animacija šeimoms.																							
SEHER RESORT & SPA	Plati paj?rio zona ir komfortiškas poilsis visai šeimai.																							
SEHER SIDE QUALITY RESORT & SPA HOTEL ADULT ONLY (16+)	Ramus ir jaukus suaugusi?j? viešbutis.																							
SEHER SUN PALACE	Puikus papl?dimys ir šeimoms pritaikyta infrastrukt?ra.																							
SELCUKHAN HOTEL	Kemero viešbutis su paprasta infrastrukt?ra šeimoms, gera kaina.																							
SELECTUM COLLECTION BODRUM	Prabanga ir modernus dizainas su ?sp?dinga atmosfera.																							
SELECTUM COLOURS BODRUM	Stilingas, spalvingas viešbutis – puikus pasirinkimas jaunimui.																							
SELECTUM COLOURS SIDE	Geras maitinimas ir modernios erdv?s šalia papl?dimio.																							
SELECTUM FAMILY COMFORT SIDE	Šeimoms pritaikytas viešbutis su geru aquaparku.																							
SELECTUM FAMILY RESORT BELEK	Didel? teritorija ir aukšto lygio paslaugos šeimoms.																							
SELECTUM FAMILY RESORT SIDE	Modernus šeimoms skirtas kurortas, erdv?s šeimyniniai kambariai, stipri animacija ir akvaparkas.																							
SELECTUM LUXURY RESORT BELEK	Prabanga, asmeninis servisas ir ?sp?dingas maitinimas – vienas stipriausi? Beleko kurort?.																							
SELECTUM NOA BELEK	Modernus, stilingas viešbutis su aukštu aptarnavimo lygiu ir priva?iu papl?dimiu.																							
SELENE BEACH & SPA	Suaugusiesiems skirtas poilsis su ramybe, SPA ir romantiška atmosfera.																							
SELENIUM HOTEL	Jaukus ir patogus viešbutis netoli sm?lio papl?dimio.																							
SENATUS HOTEL	Mažas, tvarkingas viešbutis geroje vietoje – šalia papl?dimio ir kavini?.																							
SENSES HOTEL	Boutique stiliaus viešbutis su moderniu interjeru ir jaukia atmosfera.																							
SENSITIVE PREMIUM RESORT & SPA	Didelis, modernus pastat? kompleksas su pla?ia veikl? ir pramog? pasi?la.																							
SENTIDO KAMELYA FULYA	Gerai vertinamas poilsio kompleksas – aukštas serviso lygis ir puikus papl?dimys.																							
SENTIDO KAMELYA SELIN	Ramus, rafinuotas viešbutis su aukštos kokyb?s maitinimu.																							
SENZA GARDEN HOLIDAY CLUB	Didel? teritorija, daug basein?, pritaikyta šeimoms su vaikais.																							
SENZA GRAND SANTANA	Modernus viešbutis ant papl?dimio – geras pasirinkimas patogiam poilsiui.																							
SENZA SUNSET BEACH HOTEL	Šiuolaikiškas viešbutis su didele basein? zona ir papl?dimiu pirmoje linijoje.																							
SENZA THE INN RESORT & SPA	Šeimoms draugiškas Alanijos viešbutis su dideliu basein? kompleksu, animacija vaikams.																							
SERENIS HOTEL	Šeimoms draugiškas viešbutis su daug pramog? ir patogia infrastrukt?ra.																							
SERENITY QUEEN HOTEL	Naujas, stilingas viešbutis Alanijoje su aukšto lygio aptarnavimu ir modernia prabanga.																							
SERHAN HOTEL	Paprastas Bodrumo viešbutis, ekonomiškas variantas poroms.																							
SEVEN SEAS HOTEL LIFE	Stiprus pasirinkimas šeimoms – daug erdvi?, veikl? ir kokybiškas maistas.																							
SEVEN SEAS PALMERAS BAY HOTEL	Graži teritorija ir modern?s numeriai su itin patogiu papl?dimiu.																							
SHERWOOD DREAMS RESORT	Didel? šeimoms draugiška infrastrukt?ra, vandens parkas, aktyvi animacija vaikams.																							
SHERWOOD EXCLUSIVE KEMER	?sp?dinga teritorija Kemeryje, šeimoms patogi infrastrukt?ra, baseinai ir pramogos.																							
SHERWOOD EXCLUSIVE LARA	Stipri animacija šeimoms, vandens parkas, geras kainos/kokyb?s santykis Laroje.																							
SHERWOOD PREMIO HOTEL	Nedidelis viešbutis su ramesne atmosfera, tinkamas poroms.																							
SIAM ELEGANCE HOTELS & SPA	Egzotiško Tailando stiliaus dizainas, vandens kalneliai, vaik? klubai.																							
SIANJI WELL-BEING RESORT	Unikalus „detox & well-being“ koncepcijos viešbutis Bodrume, skirtas sveikatingumo poilsiui.																							
SIDE ALEGRIA HOTEL & SPA ADULT ONLY (16+)	Modernus viešbutis tik suaugusiems, su stipriu SPA akcentu.																							
SIDE ALUNA HOTEL	Modernus viešbutis, tinkamas šeimoms, patogus prie papl?dimio.																							
SIDE AMOUR HOTEL	Jaukus viešbutis netoli Side centro – puikus kainos ir kokyb?s santykis.																							
SIDE AQUAMARIN HOTEL	Kompaktiškas, ekonomiškas šeimoms, arti papl?dimio.																							
SIDE BAY HOTEL	Biudžetinis variantas geroje vietoje, arti papl?dimio.																							
SIDE CROWN PALACE	Populiarus viešbutis su prabanga, geru maistu ir patogiu išd?stymu.																							
SIDE CROWN SERENITY	Aukštos kokyb?s maitinimas, modern?s kambariai ir ramus, komfortiškas poilsis.																							
SIDE KUM HOTEL	Puikus maistas, platus papl?dimys ir šeimoms tinkama infrastrukt?ra.																							
SIDE LOWE HOTEL	Šiuolaikiškas viešbutis arti papl?dimio ir Side centro.																							
SIDE MOON PALACE HOTEL	Naujas, modernus Side viešbutis su šeimoms patogia koncepcija.																							
SIDE STAR BEACH HOTEL	Pirmoje linijoje, labai geras maistas ir stiprus servisas.																							
SIDE STAR ELEGANCE	Stilingas viešbutis su aukštos kokyb?s aptarnavimu ir ramia atmosfera.																							
SIDE STAR PARK HOTEL	Šeimoms tinkama vieta su gera animacija ir patogiais numeriais.																							
SIDE STAR RESORT	Visapusiškas poilsis su daug veikl?, geru maistu ir papl?dimiu.																							
SIDE SUNBERK HOTEL	Paprastas ir ekonomiškas viešbutis netoli j?ros.																							
SIDE VILLAGE HOTEL	Jaukus, tvarkingas viešbutis su gera atmosfera šeimoms.																							
SIDE WELL PALACE	Modernus kompleksas su dideliais baseinais ir aukštu komfortu.																							
SIDE WIN HOTEL	Ekonomiškas pasirinkimas šeimoms, animacija vaikams.																							
SIDEMARIN KIRMAN PREMIUM	Labai modernus, prestižinio stiliaus viešbutis su aukšto lygio maitinimu.																							
SIGNATURE BLUE RESORT	Stilingas viešbutis su naujais kambariais ir dideliu basein? kompleksu.																							
SINATRA HOTEL	Nedidelis viešbutis su jaukia atmosfera Kemeryje, labiau tinkamas poroms.																							
SIRENE BELEK HOTEL	Prestižinis Beleko viešbutis, gars?jantis golfo aikštynais, prabangiu aptarnavimu ir gastronomija.																							
SIU COLLECTION	Žalia teritorija ir bungalow tipo apgyvendinimas ramiam poilsiui.																							
SMART HOLIDAY HOTEL	Kompaktiškas viešbutis šeimoms, geras kainos/kokyb?s santykis.																							
SMART STAY BEACH HOTEL	Nedidelis viešbutis prie j?ros, tinkamas poroms ieškan?ioms ramesnio poilsio.																							
SOLIS BEACH HOTEL	Biudžetinis viešbutis ar?iau j?ros, tinkamas trumpoms atostogoms.																							
SORGUN AKADIA LUXURY ADULT ONLY (16+)	Suaugusi?j? viešbutis su prabanga, ramybe ir aukš?iausiu komfortu.																							
SPICE HOTEL & SPA	Orientali prabanga, garsus SPA centras, aukšto lygio aptarnavimas Beleke.																							
STARLIGHT RESORT HOTEL	Milžiniška teritorija, daug pramog? ir veikl? visai šeimai.																							
STELLA BEACH HOTEL	Papl?dimio viešbutis su patogiais kambariais ir didele basein? zona.																							
